Dataset,Accuracy,Precision,Recall,F1,MCC,AUC-ROC
Combined Test,0.8544960474308301,0.8422764227642277,0.8390928725701944,0.8406816337571004,0.706792741678361,0.9264884219098538
English Test,0.8486777668952008,0.833879781420765,0.8293478260869566,0.8316076294277929,0.6942235825045008,0.9166560102301791
Malay Test,0.8604187437686939,0.8505376344086022,0.8487124463519313,0.849624060150376,0.7193932274331233,0.933472398718041
Manglish Code-Mixed Test,0.544,0.7,0.30434782608695654,0.42424242424242425,0.1672445576769921,0.7088509316770186
