Dataset,Accuracy,Precision,Recall,F1,MCC,AUC-ROC
Combined Test,0.8488142292490118,0.8202479338842975,0.857451403887689,0.8384371700105596,0.6971121967575605,0.9258201147186914
English Test,0.8486777668952008,0.8309859154929577,0.8336956521739131,0.8323385784047749,0.694457426976215,0.9171617065798652
Malay Test,0.8489531405782652,0.8104639684106614,0.880901287553648,0.8442159383033419,0.7004037916531551,0.9311096858241223
Manglish Code-Mixed Test,0.728,0.8571428571428571,0.6086956521739131,0.711864406779661,0.4927037938159872,0.8079710144927537
